task_id,task_type,developer_seniority,complexity,team_size,estimated_hours,actual_hours,error_hours,pct_error
T0001,bug_fix,mid,3,4,7.5,7.7,0.2,2.7
T0002,integration,senior,2,1,23.3,34.4,11.1,47.6
T0003,integration,mid,2,2,22.1,29.0,6.9,31.2
T0004,refactor,junior,2,2,16.7,15.1,-1.6,-9.6
T0005,refactor,junior,3,4,23.9,41.5,17.6,73.6
T0006,ui_design,mid,2,1,18.3,12.0,-6.3,-34.4
T0007,bug_fix,senior,5,2,14.3,20.6,6.3,44.1
T0008,integration,junior,3,1,38.4,20.7,-17.7,-46.1
T0009,new_feature,junior,5,4,60.0,70.5,10.5,17.5
T0010,bug_fix,mid,4,3,13.3,27.3,14.0,105.3
T0011,refactor,junior,2,2,19.7,35.3,15.6,79.2
T0012,ui_design,senior,2,2,17.0,19.6,2.6,15.3
T0013,integration,junior,4,1,44.0,36.8,-7.2,-16.4
T0014,integration,junior,2,4,25.4,34.8,9.4,37.0
T0015,integration,senior,2,3,28.5,48.5,20.0,70.2
T0016,integration,junior,5,2,50.7,80.7,30.0,59.2
T0017,refactor,junior,3,2,25.7,29.3,3.6,14.0
T0018,bug_fix,junior,1,3,5.3,7.0,1.7,32.1
T0019,ui_design,junior,3,3,18.0,19.8,1.8,10.0
T0020,refactor,junior,3,2,27.4,11.4,-16.0,-58.4
T0021,refactor,junior,5,2,39.7,36.2,-3.5,-8.8
T0022,new_feature,junior,4,3,45.3,100.1,54.8,121.0
T0023,bug_fix,junior,1,3,6.0,3.1,-2.9,-48.3
T0024,ui_design,mid,1,3,12.7,14.6,1.9,15.0
T0025,integration,mid,4,1,43.5,48.6,5.1,11.7
T0026,integration,mid,1,2,23.1,37.3,14.2,61.5
T0027,refactor,junior,2,3,24.4,25.7,1.3,5.3
T0028,ui_design,mid,1,4,10.8,19.9,9.1,84.3
T0029,refactor,senior,1,3,18.7,25.7,7.0,37.4
T0030,refactor,senior,5,2,36.4,34.7,-1.7,-4.7
T0031,refactor,junior,1,3,17.7,29.4,11.7,66.1
T0032,new_feature,junior,1,1,24.2,21.3,-2.9,-12.0
T0033,bug_fix,junior,5,1,13.8,11.7,-2.1,-15.2
T0034,refactor,junior,1,3,13.1,19.1,6.0,45.8
T0035,ui_design,mid,5,4,28.3,31.8,3.5,12.4
T0036,bug_fix,mid,1,4,5.1,9.1,4.0,78.4
T0037,ui_design,junior,1,3,13.2,10.5,-2.7,-20.5
T0038,ui_design,mid,1,1,13.8,12.0,-1.8,-13.0
T0039,new_feature,mid,4,4,45.3,61.9,16.6,36.6
T0040,integration,junior,4,2,42.2,49.3,7.1,16.8
T0041,bug_fix,senior,3,2,9.5,13.7,4.2,44.2
T0042,integration,junior,2,4,25.3,58.4,33.1,130.8
T0043,integration,senior,1,3,21.5,45.4,23.9,111.2
T0044,new_feature,junior,3,3,40.6,128.5,87.9,216.5
T0045,bug_fix,senior,2,2,9.5,10.0,0.5,5.3
T0046,ui_design,senior,3,4,19.4,25.5,6.1,31.4
T0047,refactor,senior,4,2,36.1,35.3,-0.8,-2.2
T0048,ui_design,senior,5,3,29.1,31.3,2.2,7.6
T0049,integration,senior,3,4,36.7,59.8,23.1,62.9
T0050,integration,mid,1,3,19.1,22.6,3.5,18.3
T0051,integration,senior,2,1,26.9,32.9,6.0,22.3
T0052,bug_fix,junior,5,2,14.2,16.5,2.3,16.2
T0053,new_feature,mid,3,2,37.4,36.0,-1.4,-3.7
T0054,refactor,mid,4,4,35.0,59.0,24.0,68.6
T0055,refactor,senior,3,3,29.0,31.9,2.9,10.0
T0056,bug_fix,mid,1,2,6.4,14.2,7.8,121.9
T0057,refactor,mid,5,3,44.3,49.4,5.1,11.5
T0058,bug_fix,mid,4,3,14.1,19.2,5.1,36.2
T0059,integration,junior,5,2,46.2,30.2,-16.0,-34.6
T0060,integration,junior,5,2,49.8,137.9,88.1,176.9
T0061,ui_design,mid,2,4,15.2,26.0,10.8,71.1
T0062,integration,mid,2,3,27.1,49.4,22.3,82.3
T0063,new_feature,junior,2,1,30.5,16.2,-14.3,-46.9
T0064,ui_design,mid,5,3,33.5,43.2,9.7,29.0
T0065,refactor,mid,3,3,28.2,24.7,-3.5,-12.4
T0066,new_feature,junior,3,3,39.9,103.6,63.7,159.6
T0067,ui_design,mid,5,3,32.2,48.1,15.9,49.4
T0068,new_feature,mid,4,4,38.5,66.2,27.7,71.9
T0069,bug_fix,junior,5,2,11.5,1.0,-10.5,-91.3
T0070,refactor,senior,5,2,41.5,42.0,0.5,1.2
T0071,integration,senior,1,1,20.1,32.2,12.1,60.2
T0072,bug_fix,mid,2,3,8.3,14.8,6.5,78.3
T0073,refactor,junior,4,2,28.4,50.6,22.2,78.2
T0074,bug_fix,mid,5,2,14.4,9.9,-4.5,-31.2
T0075,integration,senior,1,3,24.0,42.2,18.2,75.8
T0076,refactor,mid,2,2,23.4,35.7,12.3,52.6
T0077,new_feature,senior,3,2,41.5,45.5,4.0,9.6
T0078,new_feature,mid,4,2,47.0,68.4,21.4,45.5
T0079,refactor,mid,1,2,15.4,19.7,4.3,27.9
T0080,integration,junior,4,1,32.3,40.5,8.2,25.4
T0081,ui_design,mid,2,4,16.6,10.4,-6.2,-37.3
T0082,refactor,junior,2,1,23.4,22.0,-1.4,-6.0
T0083,bug_fix,mid,3,2,8.6,9.7,1.1,12.8
T0084,ui_design,senior,3,3,19.1,22.7,3.6,18.8
T0085,integration,junior,4,1,36.3,39.3,3.0,8.3
T0086,integration,mid,2,3,24.4,35.9,11.5,47.1
